_11_1,_11_2,_11_3,_11_4,_11_5,_11_6,_11_7,_11_8,_11_9,_24_1,_24_2,_24_3,_24_4,_24_5,_24_6,_24_7,_24_8,_24_9,_27_1,_27_2,_27_3,_27_4,_27_5,_27_6,_27_7,_27_8,_27_9,_28_1,_28_2,_28_3,_28_4,_28_5,_28_6,_28_7,_28_8,_28_9,_32_1,_32_2,_32_3,_32_4,_32_5,_32_6,_32_7,_32_8,_32_9,_44_1,_44_2,_44_3,_44_4,_44_5,_44_6,_44_7,_44_8,_44_9,_52_1,_52_2,_52_3,_52_4,_52_5,_52_6,_52_7,_52_8,_52_9,_53_1,_53_2,_53_3,_53_4,_53_5,_53_6,_53_7,_53_8,_53_9,_5_1,_5_2,_5_3,_5_4,_5_5,_5_6,_5_7,_5_8,_5_9,_75_1,_75_2,_75_3,_75_4,_75_5,_75_6,_75_7,_75_8,_75_9,_76_1,_76_2,_76_3,_76_4,_76_5,_76_6,_76_7,_76_8,_76_9,_84_1,_84_2,_84_3,_84_4,_84_5,_84_6,_84_7,_84_8,_84_9,_93_1,_93_2,_93_3,_93_4,_93_5,_93_6,_93_7,_93_8,_93_9,_99_1,_99_2,_99_3,_99_4,_99_5,_99_6,_99_7,_99_8,_99_9,F_SEX,M_SEX,age_0,age_20,age_30,age_40,age_50,age_60,age_70,age_80,age_99
4017.67,1410253.37,23497933.809999995,3401525.3099999973,21122,1121872.3800000001,6686777.27,24198037.54,4599217.1899999976,1146.4618,239339.37939999998,3887373.8530000024,702304.67339999974,3659.48,310640.45760000014,955590.5458,4505575.1333999969,738258.91040000017,781.6785,293529.05009999976,5115931.297100001,861258.048300002,2495.1,364860.9142,1243914.9222999995,5899517.6960999938,871728.66019999981,1719.6927,359009.06909999996,5831060.779500002,1053457.0101,5489.2200000000012,465960.68640000018,1433385.8186999992,6758362.7000999711,1107388.3656,3281.6741999999995,643123.28860000032,10317805.097000001,1766546.6445999979,2994.1200000000003,690029.3444,4109466.9702000027,16308283.534600019,1917017.1176,625.3427999999999,592674.3228000002,10861523.543400003,1738906.5636000007,1996.08,712109.65740000014,2621473.083,12482482.015799997,1708726.8761999996,10967.8868,338215.95239999995,5640143.6806000024,1092626.9466000015,,459172.57060000015,1435062.4000000004,7638287.8804000048,850673.6658,12988.287,400518.89099999995,6679117.5165000008,1293900.3315000008,,543756.9915,1699416,9045340.9109999947,1007376.7095000002,,3694.8699999999994,152661.13000000003,22770.54,,1737.6899999999998,34931.340000000004,195329.21999999997,592.9,12996.7408,676562.13139999984,9945032.0001000017,1751069.5267000007,2169.2,702446.34070000018,2682757.7754,14332974.992799994,1852488.1112999995,56664.0354,842550.9301999996,11808473.711300006,1780541.7251999932,9844.1,752025.5302,3834683.3020999995,18808537.16280001,1663177.2058999995,725.77,497274.89000000013,14876795.52,2291104.0799999968,,1289937.77,4088242.6199999996,20054940.759999976,807612.42999999982,94353.479999999981,858360.03499999968,11948968.011500001,1609194.599999998,15364.7,728203.17700000026,4377089.5025000013,20250209.343000021,1109274.2375,37245.359999999993,276903.84,5246288.3999999976,918835.01000000024,,344434.18999999994,1512206.4400000004,9377373.429999996,488314.97999999992,640091,499147.00000000017,182714.00000000009,97411.000000000029,115289.00000000003,142789.00000000009,168095.00000000009,148270,141278,135805,7591.9999999999982
3479.9900000000002,1427728.5700000003,24851168.15,3732883.2000000007,220,1165457.01,7908714.9499999993,25300163.460000005,5944368.21,3949.1936,252221.6443999999,4454230.0374000035,770679.62839999842,,288449.1236,1258685.8921999992,4834617.9573999923,1024521.7399999999,2794.0212,303864.3695999998,5851228.0538999988,963892.01100000169,,365839.9592,1552284.720699999,6245894.2492999826,1043583.5831999999,5923.790399999999,378332.46659999987,6681345.0561000025,1156019.4426000004,,432673.68539999996,1888028.8383000004,7251926.9360999623,1536782.6100000003,4935.6384,655206.93360000034,11567447.680599997,2102709.5095999935,,730251.09839999978,5260527.0018000035,16634460.7806,2135800.9299999997,2513.5764,605203.40580000018,12407386.212,1974799.4784000027,,757120.7934,3147419.7570000025,13094608.806599967,1782175.0668000001,2110.7252000000003,338649.4222,6063518.0244,1075997.2042000017,,393067.3222,1619952.2930000005,7845312.4504000116,1269240.9488,2499.5430000000006,401032.2105,7180481.8709999993,1274207.2155000009,,465474.46049999993,1918364.5575,9290501.5859999917,1503048.492,,5303.9699999999993,158091.62,20802.280000000006,,1353.7899999999997,40943.02,198375.78999999998,2043.69,4684.5932,675995.51549999986,10961860.159000002,1790657.8420999979,,648511.9831,3038355.2368999985,14594190.485000007,2094487.8058000002,56168.1141,879107.48029999994,13388602.0926,1918250.1631999903,,840313.45019999985,4590004.540099998,19350195.429599989,1640279.8943999987,2267.02,487376.24,16299166.749999998,2356078.239999997,,1018917.96,4708856.3000000007,20118234.35999997,1635025.3400000003,99282.124499999991,927273.56149999984,13770749.733000003,1801694.3749999958,,924927.74400000041,5412847.6025,21029409.219000038,993126.84899999981,17103.43,324322.43000000028,5752268.2299999977,754963.93,,330230.10000000009,1774554.3600000006,9079785.1799999867,210908.02000000005,650639.99999999965,503544.00000000012,185245.00000000006,100968.00000000003,116720.00000000006,144606.00000000003,169693.00000000012,150184.00000000003,143694.00000000003,135917.00000000003,7178.0000000000009
3022.45,1547192.6400000008,27578139.06,4121109.3700000024,,1161363.3399999999,8335064.67,27550059.900000013,4932393.8500000006,2701.9586000000004,272293.93399999995,4687683.6996000018,858893.4551999988,,309208.73499999993,1153062.0991999998,5348353.3047999935,755337.58739999973,2001.1130999999998,333493.46779999981,6323061.7295999993,1070841.4094000014,,372303.89770000003,1542370.7933999987,7049706.4193999814,875338.30670000007,4052.9379000000008,408440.90100000007,7031525.5494000027,1288340.1828000012,,463813.1025,1729593.1487999998,8022529.9571999656,1133006.3811,2210.6933999999997,711155.23600000015,11850208.6624,2166401.6987999938,,690749.03499999968,4888405.6148000034,18331761.8512,1881995.5406000002,2037.0570000000002,672678.69120000012,13643248.959000003,2188856.1738000023,,741178.45979999972,3309987.643800003,14982826.697399961,1689555.1241999995,3855.4116000000004,403176.44319999992,7018252.6571999993,1211178.0850000016,,452616.11900000012,1941904.3328000007,9296647.4384000227,932677.6012000005,4565.6190000000006,477445.78800000006,8311088.6729999995,1434289.8375000008,,535992.77249999973,2299623.552,11009187.755999979,1104486.633,,6394.5000000000009,178147.29000000004,29161.350000000006,,11116.51,43858.490000000005,228119.67999999993,895.84,10815.344,776925.63979999954,12723016.3496,2031730.6860999959,,757098.96689999988,3542691.8492000015,17263976.225000031,1810445.7987999995,57709.723399999995,975586.59799999977,15088124.671199994,2168710.8113999916,,870784.89610000013,4835183.0589999985,22131892.78159998,1615425.5670000007,4199.3,579209.40999999992,19148028.219999991,2829998.8699999987,,1177071.5299999993,5917238.580000001,24155428.019999992,1271222.8500000006,94949.97199999998,1009537.0609999998,15132954.759,2023963.4999999958,,871313.34550000029,5383630.447,23478188.669000018,1126468.5899999999,12347.299999999997,317346.09000000008,6610259.28,920142.95999999926,,334204.81999999995,2174296.3199999994,10972692.609999986,715347.72,703773.99999999965,541345.00000000012,199390.00000000012,108972.00000000001,125183.00000000007,155344.00000000006,183296.00000000015,162398.00000000003,154681.00000000009,147255.00000000003,8609.9999999999964
4344.07,1429209.6800000004,25415312.119999997,3662030.5700000012,,1171762.96,7761106.92,26427931.400000013,6975349.709999999,2690.3404,259658.08439999993,4822369.541,805966.47999999893,,305929.063,1246948.4521999997,5409185.6697999947,952413.89540000015,5837.6101999999992,313612.20179999981,6221168.1395000014,973983.49400000134,,354747.13150000008,1563430.8724999994,7062902.2958999844,1110114.8864999998,4035.5106,389487.12659999996,7233554.3115000017,1208949.7200000009,,458893.5945,1870422.6782999993,8113778.5046999734,1428620.8431000004,2233.1076000000003,687303.49360000039,12670494.458999993,2106492.2199999955,,718183.8469999996,5261576.3318000026,18433782.016199995,2175239.2526,15660.931199999999,625843.6236,13029871.329,1944524.8860000023,,685070.96400000027,3208909.2552000028,14915739.923399964,2153037.5124,24808.8092,361148.53820000007,6635052.1679999987,1175161.4456000018,,404709.46580000018,1734214.4398000014,8740496.32940002,1415595.2584,29378.853000000003,427675.90050000005,7857298.6199999982,1391638.5540000007,,479261.20949999971,2053674.9945,10350587.758499982,1676362.8059999999,,4293.2999999999993,170274.56,23849.920000000002,,4148.23,42901.060000000005,216886.01000000004,1845.5300000000002,15508.934,710899.85029999993,12127103.1998,1890183.6873999962,,690700.5131,3194118.7695000018,16601407.866700031,2586996.5909999991,52149.684299999994,917361.80200000026,14533115.321199993,1995275.1769999932,,779571.5395999999,4700914.7822,21436540.868399981,2067320.0855999996,1340.3,526795.05,17627500.33,2418519.2499999986,,993866.21000000008,5017634.4299999978,22681409.329999991,1507500.1099999999,90918.3795,964913.209,14673077.340999998,1870556.2459999968,,762389.342,5478092.5940000005,22743261.957000021,1211913.7290000003,15527.64,293572.52000000014,6725994.9799999995,1086544.5999999994,,418123.49000000028,1962540.3199999996,10645240.189999985,1555512.6000000008,675095.99999999953,511561.00000000041,189141.00000000012,104211,118507.00000000001,147916.00000000006,175679.00000000012,155885.00000000006,148550.00000000009,138594.00000000006,8200.9999999999982
5099.76,1337981.7800000003,25119707.56000001,3583479.1999999997,,1175451.4399999997,7795053.09,25741335.420000024,5239996.01,1330.0496,237333.45239999983,4082050.7552000014,721244.57019999914,,280105.892,1048704.8835999996,4843024.1067999974,671029.3237999999,1417.6942000000001,288871.9766,5548856.2812,901785.73930000141,,337577.2428,1406907.6341999988,6462464.7321999874,697993.15389999992,1995.0744,356000.17859999987,6123076.1328000035,1081866.8553000004,,420158.83800000011,1573057.3253999993,7264536.1601999747,1006543.9857000002,2792.7024,612238.7456,10994513.568799995,2038890.0537999959,,681581.70800000022,4561131.1184000028,16748200.299200008,1450653.8322000003,2536.6494000000002,579917.77680000023,12032023.542000001,1847142.0414000018,,672534.31920000014,3025055.5284000025,13846714.131599976,1218602.6544000003,8012.7826,327871.9724,6037881.4307999993,1022111.8058000011,,389841.3122,1700311.5732000005,8076180.3484000107,913541.64480000024,9488.8215000000018,388269.44100000005,7150122.7469999995,1210395.5595000004,,461654.1855,2013526.8630000001,9563897.7809999865,1081825.6319999998,,5037.63,144007.66,20073.650000000005,,2175.45,41340.329999999994,202487.93999999994,505.92999999999995,6978.3271,640501.4033999996,11192298.3686,1766528.2078999998,,724836.96030000015,3119821.6372,15237691.170200013,1731173.1741999988,81222.532299999977,810529.99019999977,13236756.1081,1887569.1932999936,,824204.96900000039,4334109.3236,19530364.981399998,1515211.3969999996,1185.6,473451.8,16486964.579999998,2123919.2199999983,,933596.18,5216460.1,21398382.479999978,1404041.68,146277.9565,841164.75300000038,13163426.555500003,1744746.373499997,,790427.18300000019,4876402.1930000009,20637510.179000035,1035451.7420000002,13444.2,267470.48000000004,6048922.1099999994,1052385.6199999994,17424,350558.6,1957246.3299999998,9308249.9699999876,1115803.1099999999,650770.99999999977,492330.00000000029,183209.00000000003,99610.000000000015,114644.00000000003,141468,168766.00000000015,151298.00000000006,143463.00000000003,133581.00000000006,7083.9999999999991
29555.850000000002,1661105.7300000002,31169364.059999995,4168591.560000001,,1305582.0799999998,9715108.1800000034,30146997.500000041,6374623.5200000005,1415.6582,278637.59659999982,5236182.3954000007,837738.602799999,,346936.106,1301301.1571999993,5869567.3695999924,882589.25260000024,1005.2306999999998,343619.10229999974,6970310.1121000014,1038564.7718000016,,417502.33680000011,1720704.4407999986,7810215.4973999839,1034159.9929000001,2123.4873,417956.39489999996,7854273.593100002,1256607.9042000014,,520404.15899999993,1951951.7358,8804351.0543999672,1323883.8788999992,7126.6757999999991,736386.11540000036,13401088.472599994,2289583.5831999956,,820233.36399999971,5568990.1268000025,20229591.252400022,1972229.0093999999,914.02799999999991,696703.96080000012,14911303.5168,2114020.6080000019,,830805.57419999992,3664772.6694000042,16703516.02619998,2014447.6962,4153.8408,388150.12599999993,7668535.7321999967,1239840.2272000017,,457189.42280000017,2025568.1386000004,9697322.5544000231,1168502.3788,4919.0220000000008,459651.46499999997,9081160.7355,1468231.8480000007,,541408.527,2398699.1114999996,11483671.445999987,1383752.8170000003,,5452.6299999999992,189506.50999999995,30267.320000000007,,5814.2699999999995,53281.299999999981,271278.71,1115.16,8683.3196,729157.20399999991,13852261.8231,2015277.8567999976,,798892.01699999976,3693913.8012999995,17868442.892400019,2288100.579,73810.8476,934410.31949999975,16245165.2657,2118365.7914999938,31.499999999999996,900693.96970000013,5364618.8700999981,23250447.178699989,1941568.4441999989,387,571781.74999999977,20498479.06,2647723.9299999974,,1193278.7100000002,6232003.8499999987,25885728.310000006,1510837.8299999998,127898.80999999998,988266.8054999999,16154335.9835,1969835.9264999963,58.5,873405.77350000013,6213835.8685,24983660.058500025,1231679.2409999997,27741.999999999996,329144.14,7493462.59,1368346.5499999986,,456171.3,2394014.2699999991,11591643.529999992,1014158.4899999998,748598.99999999919,567814.00000000035,212685.00000000023,114659.00000000003,131906.00000000009,162828.00000000009,192236.00000000009,173480.00000000003,165417.99999999997,154347,8891.0000000000018
2414.05,1534847.0200000007,30819869.68,4571821.3800000027,39736,1414413.4999999998,9547576.38,33392627.500000063,6099507.66,1703.163,250693.01839999997,5458757.9948,863598.93619999907,,327899.81840000011,1395403.6337999995,5926137.6085999906,967950.7969999999,1506.0666999999999,303933.69659999973,7132283.4316,1076489.4039000017,,400833.95999999996,1777750.4774999993,7936216.0662999861,1120231.2091,2554.7445000000002,376039.52760000003,8188136.9922,1295398.4043000008,,491849.7276,2093105.4506999995,8889206.41289997,1451926.1955000004,1969.9570000000003,657088.11960000021,13582387.061200002,2249760.8577999962,,773458.54959999991,5688514.8422000036,20704141.203399997,2435223.773,2151.5388000000003,608310.63780000014,15068933.110200005,2200072.6878000018,,807342.64439999987,3690876.2958000009,17044351.438799985,2159820.9354,5551.686,344591.8926,7745923.6594000012,1277248.2252000014,15449.279999999999,477623.41359999997,2082905.8294000011,9937979.1726000216,1237569.8754,6574.365,408069.34649999975,9172804.3334999979,1512530.7930000005,18295.2,565606.67399999977,2466599.0085,11768659.54649999,1465543.2735000004,,4590.6799999999985,151151.19999999998,20839.63,,2155.1,39637.749999999985,202325.81000000006,1917.4100000000003,14420.7624,682760.57470000023,14453212.166899998,2042851.2127999994,44453.76,820933.5105999998,3891479.4719,18560801.47450003,2859975.0675,76274.5536,867047.23419999948,16838767.302699998,2128059.1254999936,57485.959999999992,908059.09880000015,5390341.9331999989,23543617.05289999,2531817.8465999993,2583.18,510206.67999999993,20723853.629999995,2661226.7999999975,62392,1116710.3100000003,6514408.9399999976,26544633.360000007,1714720.5799999996,125599.38300000002,899353.312,16495124.3275,1973262.3234999967,56271.80000000001,869735.63300000015,6030411.7770000016,24741802.533500027,1600337.4270000004,6592.13,304926.90000000008,7828678.0399999972,1457012.7099999986,598,389092.69,2183409.5600000005,12239129.039999992,960562.89999999991,755970.99999999919,569431.00000000023,215679.00000000015,114503.00000000001,132811.00000000006,164269.00000000015,193530.00000000015,176125.00000000006,164980.00000000006,155313.00000000006,8217.9999999999982
3860.71,784182.17,14343303.209999992,3127804.8999999985,44222,1027986.2500000001,2901917.76,21880008.439999994,601799.52999999991,293.0818,172220.41100000002,2594165.5278000017,704221.33979999926,11093.720000000001,259015.73280000009,533262.356,4393781.6823999966,149843.04719999994,199.8285,214399.49809999994,3543294.3277000017,873506.12630000163,7563.9,320480.45020000008,716797.99199999985,6044444.35779999,128806.17400000001,439.6227,258330.61650000003,3891248.2917,1056332.0096999998,16640.58,388523.59920000006,799893.53399999964,6590672.5235999757,224764.57080000007,1105.9542,495948.24900000007,6981194.3982,1956943.4861999964,9076.68,672490.48319999967,2634309.1840000008,15732449.425600013,626257.4368,159.8628,437764.1454,7706568.3846000023,1778743.7580000022,6051.12,651397.1046,1543160.4539999992,13205579.160599992,176185.11119999998,5659.1576,244213.95019999996,3583114.2704,957941.152600001,,383222.90919999982,795548.77959999989,7247010.8142000074,172161.42440000002,6701.634,289200.73049999995,4243161.635999999,1134403.9965000013,,453816.60299999983,942097.23899999983,8581986.4904999919,203875.371,,3154.9100000000003,116001.22999999997,23748.820000000007,,11547.349999999999,28398.359999999997,208668.89,1769.31,6438.2545999999993,488879.4259,7220260.4924000027,1563148.2091,48315.159999999996,618162.03279999993,1521915.3392000005,13559142.304699996,804891.83739999984,64263.180799999987,575488.6214,8716431.9627,1659098.863799995,34986.84,702138.423,2203694.1227000006,17536471.899100009,773254.0732000001,387,315703.55999999994,8917382.6399999969,2052414.4699999976,,885686.46000000008,1936818.28,18584959.089999989,448440.87000000005,114092.303,558233.312,8633375.0685000028,1555348.1579999984,,703209.702,2524489.7795000011,18693068.621500019,457180.594,27587.539999999994,190435.50000000003,4701682.9600000018,1089324.7999999993,44,313438.98999999993,1190735.9099999997,9261833.3799999915,169652.75999999998,627897,473884.00000000035,161493.00000000003,97317.000000000044,112984.00000000006,137775.00000000006,164372.00000000015,148107.00000000006,140156.00000000006,133797,5837
52250.479999999996,1433896.9400000004,22592755.729999997,3283948.2099999962,,941664.44000000006,4964289.3100000005,24369781.939999998,3343710.9299999988,2006.7212000000004,272438.81499999994,4438604.9488,817890.47999999928,,295447.4204,935261.6284,5219454.1299999934,382263.80940000009,1431.348,330219.05629999976,5919084.7392000025,1022062.7044000019,,360556.6496,1220997.9285999998,7174876.2237999868,401397.7745,3010.0818,408658.22250000003,6657907.4232000019,1226835.7200000007,,443171.13060000003,1402892.4425999997,7829181.1949999733,573395.71410000022,5927.3928000000005,709490.06500000006,11947065.517199997,2199419.2599999956,,706613.47759999975,4124919.1796000008,18203275.360000003,1018503.1886000001,1318.3962,660798.21120000014,12677217.62160001,2092666.9956000003,,725288.9418,2578275.6407999997,15667897.021199992,707577.62339999992,1843.1178000000002,392474.72739999992,6367029.086,1191515.4638000019,,398376.43899999995,1374615.6518000008,8654223.6944000144,316315.56059999991,2182.6395,464772.70350000006,7539902.8649999984,1411005.1545000009,,471761.57250000007,1627834.3244999996,10248422.795999995,374584.2165000001,,5157.53,168993.84999999998,31856.249999999996,,13650.990000000002,33075.200000000004,254790.19000000006,2567.2200000000003,15828.329099999995,732884.05929999985,11342053.707600003,1950744.8982999991,,684290.01609999989,2488330.6975000002,16381254.025400007,563315.58469999966,79190.41409999998,923651.75279999978,13085079.841400003,2037449.4328999941,46.199999999999996,812255.56790000037,3525158.8967000009,21112623.763700005,708950.75370000012,4434,543024.5199999999,15953894.1,2505999.589999998,,996075.50999999989,3566831.0199999996,22282843.439999986,877069.15999999992,126890.4195,965876.457,12878373.170000002,1877274.6004999976,85.8,827899.10450000037,4027362.5795,22385866.080500025,749366.4945,14041.21,448710.09000000008,6530907.6700000018,1307225.8099999994,,300867.73,1735395.8199999996,10585428.039999984,945449.06000000017,707732.99999999942,542316.00000000023,198744,108813.00000000001,127082,154054.00000000015,182715.00000000003,165965,156727.99999999997,149100.00000000006,6945
5211.34,1653081.99,28872256.539999992,3938042.8699999992,,1202628.6500000004,9355594.8199999984,29473980.270000026,6353073.84,2708.8402,297026.38899999991,5391150.503200002,821965.16599999974,,301464.9968,1386971.7707999996,6006997.4513999913,779635.56659999979,2544.3849,355435.97749999986,7135815.9804000016,1026148.8236000012,,387161.23939999996,1784907.8305999998,8062521.6250999887,855899.86670000013,4063.2603000000008,445539.58349999989,8086725.7547999993,1232947.7490000005,,452197.49520000006,2080457.6562,9010496.1770999711,1169453.3499000005,4551.4038,754287.2510000004,13656274.930799996,2183773.713999996,,772104.25919999962,5983300.7852000026,20166988.176600005,1830443.0754000002,3950.3207999999995,704178.1590000001,15208012.120800002,2099526.7374000014,,808349.99939999986,3732035.9772000015,17340800.449799992,1575153.6113999996,15538.378599999996,401250.58800000016,7489793.7566000037,1172965.0228000015,,417587.8558,2065241.1950000003,9736369.0288000144,1199824.0459999999,18400.7115,475165.16999999993,8869492.6065000016,1389037.527,,494511.93449999992,2445680.3625,11529910.691999996,1420844.2650000001,,4417.5599999999995,158129.78999999998,31993.87,,1105.3600000000001,47465.01,233380.1399999999,2611.3099999999995,30926.317899999995,784477.263,13598786.893900001,1992921.189599999,,740992.85970000015,3841054.253500002,18396836.427600019,2249116.326,103744.08100000002,1010709.4445000001,15878384.179000005,2130737.8735999945,,878315.63049999974,5378152.3564999988,23498705.6451,1913517.9980000006,8891.38,592725.42,20124768.91,2614782.4499999993,,1088021.68,6254377.66,25743947.289999992,1333224.0100000002,160425.42099999997,1063450.9145000002,15706514.044,1982644.1569999976,,885884.75950000016,6064959.5825000005,24757604.95650002,1250856.8150000002,19437.37,471959.83,7021344.379999999,1196681.5899999996,,522408.14000000019,2295131.6900000009,11111796.369999988,892447.57000000007,729457.99999999884,556422.00000000023,209330,109624.00000000006,126908.00000000006,157894.00000000006,188620.00000000012,173068.00000000012,161724.00000000012,150984.00000000009,7774.9999999999973
