,Date,Region,Maladie,Depassement
0,2009-01-01,11,1,4017.6700000000005
1,2009-01-01,11,2,1410253.3700000008
2,2009-01-01,11,3,23497933.810000002
3,2009-01-01,11,4,3401525.3099999973
4,2009-01-01,11,5,21122.000000000004
5,2009-01-01,11,6,1121872.3800000001
6,2009-01-01,11,7,6686777.270000003
7,2009-01-01,11,8,24198037.539999995
8,2009-01-01,11,9,4599217.190000001
9,2009-01-01,24,1,1146.4618000000007
10,2009-01-01,24,2,239339.37939999992
11,2009-01-01,24,3,3887373.8530000024
12,2009-01-01,24,4,702304.6734000001
13,2009-01-01,24,5,3659.4800000000005
14,2009-01-01,24,6,310640.4576
15,2009-01-01,24,7,955590.5458000003
16,2009-01-01,24,8,4505575.133399997
17,2009-01-01,24,9,738258.9104000002
18,2009-01-01,27,1,781.6785
19,2009-01-01,27,2,293529.0500999999
20,2009-01-01,27,3,5115931.297100002
21,2009-01-01,27,4,861258.0483000021
22,2009-01-01,27,5,2495.1000000000004
23,2009-01-01,27,6,364860.9142
24,2009-01-01,27,7,1243914.9223000002
25,2009-01-01,27,8,5899517.696099994
26,2009-01-01,27,9,871728.6601999998
27,2009-01-01,28,1,1719.6927000000003
28,2009-01-01,28,2,359009.0690999999
29,2009-01-01,28,3,5831060.779499999
30,2009-01-01,28,4,1053457.0101000003
31,2009-01-01,28,5,5489.220000000001
32,2009-01-01,28,6,465960.6864000002
33,2009-01-01,28,7,1433385.8186999992
34,2009-01-01,28,8,6758362.700099971
35,2009-01-01,28,9,1107388.3656
36,2009-01-01,32,1,3281.6742
37,2009-01-01,32,2,643123.2886000004
38,2009-01-01,32,3,10317805.096999997
39,2009-01-01,32,4,1766546.6445999993
40,2009-01-01,32,5,2994.1200000000013
41,2009-01-01,32,6,690029.3443999998
42,2009-01-01,32,7,4109466.9702000036
43,2009-01-01,32,8,16308283.534600023
44,2009-01-01,32,9,1917017.1176000005
45,2009-01-01,44,1,625.3428
46,2009-01-01,44,2,592674.3228000005
47,2009-01-01,44,3,10861523.54340001
48,2009-01-01,44,4,1738906.5636000014
49,2009-01-01,44,5,1996.0800000000004
50,2009-01-01,44,6,712109.6574000004
51,2009-01-01,44,7,2621473.0830000015
52,2009-01-01,44,8,12482482.0158
53,2009-01-01,44,9,1708726.8761999998
54,2009-01-01,52,1,10967.886800000002
55,2009-01-01,52,2,338215.95239999995
56,2009-01-01,52,3,5640143.6806
57,2009-01-01,52,4,1092626.9466000013
58,2009-01-01,52,5,0.0
59,2009-01-01,52,6,459172.5706000002
60,2009-01-01,52,7,1435062.4000000006
61,2009-01-01,52,8,7638287.880400007
62,2009-01-01,52,9,850673.6658
63,2009-01-01,53,1,12988.287
64,2009-01-01,53,2,400518.89100000006
65,2009-01-01,53,3,6679117.5165
66,2009-01-01,53,4,1293900.3315000008
67,2009-01-01,53,5,0.0
68,2009-01-01,53,6,543756.9915000001
69,2009-01-01,53,7,1699416.0000000007
70,2009-01-01,53,8,9045340.910999998
71,2009-01-01,53,9,1007376.7095000001
72,2009-01-01,5,1,0.0
73,2009-01-01,5,2,3694.8700000000003
74,2009-01-01,5,3,152661.13000000012
75,2009-01-01,5,4,22770.54000000001
76,2009-01-01,5,5,0.0
77,2009-01-01,5,6,1737.6899999999998
78,2009-01-01,5,7,34931.34000000001
79,2009-01-01,5,8,195329.22000000003
80,2009-01-01,5,9,592.9000000000003
81,2009-01-01,75,1,12996.740800000003
82,2009-01-01,75,2,676562.1313999998
83,2009-01-01,75,3,9945032.0001
84,2009-01-01,75,4,1751069.5267000005
85,2009-01-01,75,5,2169.2000000000003
86,2009-01-01,75,6,702446.3407000002
87,2009-01-01,75,7,2682757.7754000006
88,2009-01-01,75,8,14332974.992799997
89,2009-01-01,75,9,1852488.1113000002
90,2009-01-01,76,1,56664.035400000015
91,2009-01-01,76,2,842550.9301999998
92,2009-01-01,76,3,11808473.711300002
93,2009-01-01,76,4,1780541.7251999935
94,2009-01-01,76,5,9844.100000000002
95,2009-01-01,76,6,752025.5302000003
96,2009-01-01,76,7,3834683.3021000004
97,2009-01-01,76,8,18808537.162800018
98,2009-01-01,76,9,1663177.2059000002
99,2009-01-01,84,1,725.7700000000001
100,2009-01-01,84,2,497274.8900000001
101,2009-01-01,84,3,14876795.52
102,2009-01-01,84,4,2291104.0799999963
103,2009-01-01,84,5,0.0
104,2009-01-01,84,6,1289937.77
105,2009-01-01,84,7,4088242.620000001
106,2009-01-01,84,8,20054940.75999998
107,2009-01-01,84,9,807612.4299999998
108,2009-01-01,93,1,94353.48000000001
109,2009-01-01,93,2,858360.035
110,2009-01-01,93,3,11948968.011500001
111,2009-01-01,93,4,1609194.599999998
